REF;NAME;PVP0C
74038.003.33;[74038.003.33] POLO SOFTEE PADEL CLASSIC (ROJO, M);0.162
74038.009.25;[74038.009.25] POLO SOFTEE PADEL CLASSIC (MARINO, 6/8);0.162
74038.009.27;[74038.009.27] POLO SOFTEE PADEL CLASSIC (MARINO, 10/12);0.162
74038.009.32;[74038.009.32] POLO SOFTEE PADEL CLASSIC (MARINO, S);0.162
74038.009.33;[74038.009.33] POLO SOFTEE PADEL CLASSIC (MARINO, M);0.162
74038.011.25;[74038.011.25] POLO SOFTEE PADEL CLASSIC (GRIS, 6/8);0.162
74038.011.27;[74038.011.27] POLO SOFTEE PADEL CLASSIC (GRIS, 10/12);0.162
74038.011.32;[74038.011.32] POLO SOFTEE PADEL CLASSIC (GRIS, S);0.162
74038.011.33;[74038.011.33] POLO SOFTEE PADEL CLASSIC (GRIS, M);0.162
74039.001.25;[74039.001.25] POLO SOFTEE PADEL CLASSIC NIÑA/MUJER (NEGRO, 6/8);0.162
74039.001.27;[74039.001.27] POLO SOFTEE PADEL CLASSIC NIÑA/MUJER (NEGRO, 10/12);0.162
74039.001.32;[74039.001.32] POLO SOFTEE PADEL CLASSIC NIÑA/MUJER (NEGRO, S);0.162
74039.002.25;[74039.002.25] POLO SOFTEE PADEL CLASSIC NIÑA/MUJER (BLANCO, 6/8);0.162
74039.002.27;[74039.002.27] POLO SOFTEE PADEL CLASSIC NIÑA/MUJER (BLANCO, 10/12);0.162
74039.002.32;[74039.002.32] POLO SOFTEE PADEL CLASSIC NIÑA/MUJER (BLANCO, S);0.162
74039.003.25;[74039.003.25] POLO SOFTEE PADEL CLASSIC NIÑA/MUJER (ROJO, 6/8);0.162
74039.003.27;[74039.003.27] POLO SOFTEE PADEL CLASSIC NIÑA/MUJER (ROJO, 10/12);0.162
74039.009.25;[74039.009.25] POLO SOFTEE PADEL CLASSIC NIÑA/MUJER (MARINO, 6/8);0.162
74039.009.27;[74039.009.27] POLO SOFTEE PADEL CLASSIC NIÑA/MUJER (MARINO, 10/12);0.162
74039.009.32;[74039.009.32] POLO SOFTEE PADEL CLASSIC NIÑA/MUJER (MARINO, S);0.162
76700.002.1;[76700.002.1] PAR CALCETIN ALTO SOFTEE PADEL (35-38, BLANCO);0.111
76700.002.2;[76700.002.2] PAR CALCETIN ALTO SOFTEE PADEL (39-42, BLANCO);0.288943957543594
76700.002.3;[76700.002.3] PAR CALCETIN ALTO SOFTEE PADEL (43-46, BLANCO);0.111
76701.002.1;[76701.002.1] PAR CALCETIN TOBILLERO SOFTEE (35-38);0.095
76701.002.2;[76701.002.2] PAR CALCETIN TOBILLERO SOFTEE (39-42);0.095
76701.002.3;[76701.002.3] PAR CALCETIN TOBILLERO SOFTEE (43-46);0.095
7850030;[7850030] GORRA SOFTEE CLASSIC BLANCA;0.202
7850033;[7850033] GORRA SOFTEE PERFORMANCE 1.0;0.286
80000.001.350;[80000.001.350] CHANCLA MARTIN KEIN CURAÇAO (NEGRO, 35);0.156
80000.001.360;[80000.001.360] CHANCLA MARTIN KEIN CURAÇAO (NEGRO, 36);0.156
80000.001.370;[80000.001.370] CHANCLA MARTIN KEIN CURAÇAO (NEGRO, 37);0.156
80000.001.380;[80000.001.380] CHANCLA MARTIN KEIN CURAÇAO (NEGRO, 38);0.156
80000.001.390;[80000.001.390] CHANCLA MARTIN KEIN CURAÇAO (NEGRO, 39);0.156
80000.002.360;[80000.002.360] CHANCLA MARTIN KEIN CURAÇAO (BLANCO, 36);0.159
80000.002.370;[80000.002.370] CHANCLA MARTIN KEIN CURAÇAO (BLANCO, 37);0.162
80000.002.380;[80000.002.380] CHANCLA MARTIN KEIN CURAÇAO (BLANCO, 38);0.162
80000.010.350;[80000.010.350] CHANCLA MARTIN KEIN CURAÇAO (ROSA, 35);0.156
80000.010.360;[80000.010.360] CHANCLA MARTIN KEIN CURAÇAO (ROSA, 36);0.156
80000.010.370;[80000.010.370] CHANCLA MARTIN KEIN CURAÇAO (ROSA, 37);0.156
80000.010.380;[80000.010.380] CHANCLA MARTIN KEIN CURAÇAO (ROSA, 38);0.156
80000.010.390;[80000.010.390] CHANCLA MARTIN KEIN CURAÇAO (ROSA, 39);0.156
80000.010.400;[80000.010.400] CHANCLA MARTIN KEIN CURAÇAO (ROSA, 40);0.156
80000.014.360;[80000.014.360] CHANCLA MARTIN KEIN CURAÇAO (FUCSIA, 36);0.159
80000.014.370;[80000.014.370] CHANCLA MARTIN KEIN CURAÇAO (FUCSIA, 37);0.162
80000.014.380;[80000.014.380] CHANCLA MARTIN KEIN CURAÇAO (FUCSIA, 38);0.162
80000.014.390;[80000.014.390] CHANCLA MARTIN KEIN CURAÇAO (FUCSIA, 39);0.159
80000.028.350;[80000.028.350] CHANCLA MARTIN KEIN CURAÇAO (AZUL, 35);0.156
80000.028.360;[80000.028.360] CHANCLA MARTIN KEIN CURAÇAO (AZUL, 36);0.156
80000.028.380;[80000.028.380] CHANCLA MARTIN KEIN CURAÇAO (AZUL, 38);0.156
80000.028.390;[80000.028.390] CHANCLA MARTIN KEIN CURAÇAO (AZUL, 39);0.156
80011.001.410;[80011.001.410] CHANCLA MARTIN KEIN ARUBA (NEGRO, 41);0.38
80011.001.420;[80011.001.420] CHANCLA MARTIN KEIN ARUBA (NEGRO, 42);0.38
